Region,L2_LINES_OUT:DEMAND_CLEAN,TX_MEM:ABORT_HLE_STORE_TO_ELIDED_LOCK,IDQ_UOPS_NOT_DELIVERED:CORE,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,BR_INST_RETIRED:NEAR_TAKEN,RS_EVENTS:EMPTY_CYCLES,BR_MISP_RETIRED:CONDITIONAL,UOPS_ISSUED:SINGLE_MUL,TX_MEM:ABORT_HLE_ELISION_BUFFER_UNSUPPORTED_ALIGNMENT,DTLB_LOAD_MISSES:PDE_CACHE_MISS,BR_INST_EXEC:ALL_DIRECT_NEAR_CALL,PAGE_WALKER_LOADS:DTLB_L1,PAGE_WALKER_LOADS:DTLB_L2,PAGE_WALKER_LOADS:DTLB_MEMORY,L2_TRANS:CODE_RD,BR_INST_RETIRED:FAR_BRANCH,LONGEST_LAT_CACHE:REFERENCE,L1D_PEND_MISS:FB_FULL,BR_MISP_EXEC:ALL_BRANCHES,IDQ_UOPS_NOT_DELIVERED:CYCLES_FE_WAS_OK,DTLB_STORE_MISSES:WALK_COMPLETED,OFFCORE_RESPONSE_0:SPLIT_LOCK_UC_LOCK,BR_INST_RETIRED:CONDITIONAL,BR_INST_RETIRED:NEAR_CALL,TX_MEM:ABORT_HLE_ELISION_BUFFER_NOT_EMPTY,UOPS_ISSUED:SLOW_LEA,IDQ:MS_UOPS,HLE_RETIRED:ABORTED,MISALIGN_MEM_REF:LOADS,RS_EVENTS:EMPTY_END,ITLB:ITLB_FLUSH,L2_RQSTS:RFO_MISS,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,OFFCORE_REQUESTS:DEMAND_RFO,TLB_FLUSH:DTLB_THREAD,MEM_LOAD_UOPS_RETIRED:HIT_LFB,DTLB_LOAD_MISSES:WALK_COMPLETED,LOCK_CYCLES:CACHE_LOCK_DURATION,BR_MISP_EXEC:ALL_CONDITIONAL,ITLB_MISSES:WALK_DURATION,MEM_UOPS_RETIRED:STLB_MISS_STORES,L2_RQSTS:REFERENCES,L2_RQSTS:L2_PF_MISS,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,BR_INST_EXEC:ALL_DIRECT_JMP,L2_RQSTS:CODE_RD_MISS,OFFCORE_RESPONSE_0:PF_L3_RFO,ARITH:DIVIDER_UOPS,BR_INST_EXEC:ALL_INDIRECT_NEAR_RETURN,UOPS_ISSUED:ANY,OFFCORE_REQUESTS_BUFFER:SQ_FULL,OFFCORE_RESPONSE_0:PF_L3_CODE_RD,BR_MISP_EXEC:ALL_INDIRECT_JUMP_NON_CALL_RET,MISALIGN_MEM_REF:STORES,UOPS_RETIRED:ALL,ILD_STALL:LCP,DTLB_STORE_MISSES:WALK_DURATION,ICACHE:IFETCH_STALL,TX_MEM:ABORT_CAPACITY_WRITE,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,EPT:WALK_CYCLES,BACLEARS:ANY,MOVE_ELIMINATION:INT_ELIMINATED,L1D_PEND_MISS:REQUEST_FB_FULL,OFFCORE_RESPONSE_0:PF_L3_DATA_RD,BR_MISP_RETIRED:NEAR_TAKEN,RESOURCE_STALLS:ANY,DTLB_LOAD_MISSES:WALK_DURATION,INT_MISC:RECOVERY_CYCLES,L1D_PEND_MISS:PENDING_CYCLES,ILD_STALL:IQ_FULL,OFFCORE_RESPONSE_1:PF_L3_RFO,OFFCORE_RESPONSE_1:PF_L3_DATA_RD,L2_LINES_IN:ALL,UOPS_EXECUTED:STALL_CYCLES,LOCK_CYCLES:SPLIT_LOCK_UC_LOCK_DURATION,UOPS_ISSUED:FLAGS_MERGE,L1D:REPLACEMENT,MOVE_ELIMINATION:INT_NOT_ELIMINATED,DTLB_STORE_MISSES:PDE_CACHE_MISS,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,RESOURCE_STALLS:ROB,LD_BLOCKS:STORE_FORWARD,OFFCORE_RESPONSE_0:DMND_DATA_RD,L2_RQSTS:MISS,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_CODE_RD,BR_INST_EXEC:ALL_CONDITIONAL,OFFCORE_REQUESTS_OUTSTANDING:ALL_DATA_RD,OFFCORE_REQUESTS:ALL_DATA_RD,L2_RQSTS:ALL_PF,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO,RESOURCE_STALLS:SB,DTLB_LOAD_MISSES:WALK_COMPLETED_4K,MEM_LOAD_UOPS_RETIRED:L2_MISS,UOPS_RETIRED:STALL_CYCLES,MEM_LOAD_UOPS_RETIRED:L1_MISS,PAGE_WALKER_LOADS:DTLB_L3,MACHINE_CLEARS:MEMORY_ORDERING,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,OFFCORE_RESPONSE_1:DMND_DATA_RD,TX_MEM:ABORT_HLE_ELISION_BUFFER_MISMATCH,LD_BLOCKS:NO_SR,MEM_LOAD_UOPS_RETIRED:L3_MISS,OFFCORE_REQUESTS:DEMAND_CODE_RD,LONGEST_LAT_CACHE:MISS,TLB_FLUSH:STLB_ANY,BR_INST_RETIRED:NEAR_RETURN,FP_ASSIST:ANY,BR_INST_RETIRED:NOT_TAKEN,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_DATA_RD,OFFCORE_REQUESTS:DEMAND_DATA_RD,L2_RQSTS:ALL_DEMAND_MISS,L1D_PEND_MISS:PENDING,L2_LINES_OUT:DEMAND_DIRTY,L2_RQSTS:CODE_RD_HIT,RESOURCE_STALLS:RS,MOVE_ELIMINATION:SIMD_NOT_ELIMINATED,MOVE_ELIMINATION:SIMD_ELIMINATED,L2_RQSTS:ALL_DEMAND_REFERENCES,BR_MISP_RETIRED:ALL_BRANCHES,OFFCORE_RESPONSE_1:PF_L3_CODE_RD,OFFCORE_RESPONSE_1:SPLIT_LOCK_UC_LOCK,TX_MEM:ABORT_CONFLICT
Nyx::remove_virtual_particles(),1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7445744472678488,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7131478331718157,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7492252535067117,1.7646905778371382,1.7371822969932287,1.7646905778371382,1.7646905778371382,1.7557001852221898,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7490558726156957,1.7646905778371382,1.191626882357754,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7547929802240774,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7382620674864309,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7576158711155965,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.3252430565742221,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.2041472302074252,1.7646905778371382,1.7646905778371382,1.7646905778371382,1.7646905778371382
Nyx::setup_virtual_particles(),1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7465275776963995,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.3373371834436796,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.6342778279901564,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7471660887221734,1.2353361034593258,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7503232014730743,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.2536870417676806,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7472903117364698,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.76142881580457,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.732931329389843,1.7520223821075036,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192,1.7673569596230192
Nyx::strang_hydro(),0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3394543016585631,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.08411531176542353,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.369669352776097,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796,0.3696694606451796
analriem,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.34262966395354044,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.350019251627945,0.35011177176645586,0.3501091860192053,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.3163076007220515,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.3423556591601996,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.3501111891277679,0.35011177176645586,0.35011177176645586,0.3500615929343358,0.35011177176645586,0.35011177176645586,0.11687295971857341,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586,0.35011177176645586
ctoprim,0.714402978586667,0.714402978586667,0.714402978586667,0.6861169033018129,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.22944651634289756,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.6103639456669899,0.714402978586667,0.703676600654563,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667,0.714402978586667
loop1,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.4133712961268149,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.4057297083286397,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.26875741475156445,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.39148869191013674,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.34366409298021716,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.3446455616840923,0.41342127099882797,0.3422210813360763,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797,0.41342127099882797
loop2,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.31753895295470086,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.31747704940452576,0.3175908930636925,0.3175908930636925,0.3023570508246903,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.25816418246017847,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.2992778148912224,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3169532663131506,0.3175908930636925,0.3175908930636925,0.3172865208835896,0.3175908930636925,0.3175908930636925,0.3041486788199745,0.3175908930636925,0.29668161578855745,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.31742712693126485,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.31747169943457054,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3167927698487869,0.30245179743631356,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.24063929769238335,0.3175908930636925,0.24231595557351393,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925,0.3175908930636925
loop3,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.318025277295632,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34308363735299496,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34684052078840566,0.3472281136307874,0.2960682737918103,0.3469216312821494,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.22416344638700442,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34702426920047547,0.34740451703543507,0.34740451703543507,0.347076807081211,0.34740451703543507,0.34740451703543507,0.3376192411204204,0.34740451703543507,0.3404639569519591,0.3452577311954106,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.3368965016241074,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.2750950956543182,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507,0.34740451703543507
